DataSeries,year_month,arrivals
Japan,2021-05,2330
South Asia,2021-05,2102
Middle East,2021-05,2861
Oceania,2021-05,9089
Germany,2021-05,1075
Europe,2021-05,7751
France,2021-05,706
United Kingdom,2021-05,2474
North America,2021-05,2613
Number Of Air Passenger Arrivals,2021-04,85019
South East Asia,2021-04,29017
Vietnam,2021-04,1589
Indonesia,2021-04,6598
Other Regions,2021-04,37
Malaysia,2021-04,7951
Philippines,2021-04,5182
Thailand,2021-04,2232
North East Asia,2021-04,21842
Mainland China,2021-04,13175
Hong Kong,2021-04,1844
Japan,2021-04,3397
South Asia,2021-04,12772
Middle East,2021-04,3853
Oceania,2021-04,8255
Germany,2021-04,1090
Europe,2021-04,7280
France,2021-04,773
United Kingdom,2021-04,1454
North America,2021-04,1963
Number Of Air Passenger Arrivals,2021-03,81820
South East Asia,2021-03,26242
Vietnam,2021-03,1629
Indonesia,2021-03,5908
Other Regions,2021-03,10
Malaysia,2021-03,7258
Philippines,2021-03,4752
Thailand,2021-03,1709
North East Asia,2021-03,21398
Mainland China,2021-03,13299
Hong Kong,2021-03,1890
Japan,2021-03,2676
South Asia,2021-03,13928
Middle East,2021-03,4121
Oceania,2021-03,7359
Germany,2021-03,1073
Europe,2021-03,7213
France,2021-03,680
United Kingdom,2021-03,1769
North America,2021-03,1549
Number Of Air Passenger Arrivals,2021-02,58750
South East Asia,2021-02,18598
Vietnam,2021-02,1091
Indonesia,2021-02,4353
Other Regions,2021-02,12
Malaysia,2021-02,4723
Philippines,2021-02,3864
Thailand,2021-02,1303
North East Asia,2021-02,14241
Mainland China,2021-02,7888
Hong Kong,2021-02,1334
Japan,2021-02,1881
South Asia,2021-02,8639
Middle East,2021-02,3879
Oceania,2021-02,6530
Germany,2021-02,816
Europe,2021-02,5735
France,2021-02,620
United Kingdom,2021-02,1415
North America,2021-02,1116
Number Of Air Passenger Arrivals,2021-01,73345
South East Asia,2021-01,21742
Vietnam,2021-01,4280
Indonesia,2021-01,4365
Other Regions,2021-01,86
Malaysia,2021-01,3814
Philippines,2021-01,4109
Thailand,2021-01,1587
North East Asia,2021-01,19513
Mainland China,2021-01,11420
Hong Kong,2021-01,1542
Japan,2021-01,2798
South Asia,2021-01,9614
Middle East,2021-01,5138
Oceania,2021-01,7344
Germany,2021-01,1181
Europe,2021-01,8413
France,2021-01,1015
United Kingdom,2021-01,2003
North America,2021-01,1495
Number Of Air Passenger Arrivals,2020-12,75337
South East Asia,2020-12,22049
Vietnam,2020-12,2057
Indonesia,2020-12,6448
Other Regions,2020-12,662
Malaysia,2020-12,4159
Philippines,2020-12,4843
Thailand,2020-12,1236
North East Asia,2020-12,20517
Mainland China,2020-12,11612
Hong Kong,2020-12,2462
Japan,2020-12,2875
South Asia,2020-12,7515
Middle East,2020-12,3999
Oceania,2020-12,10114
Germany,2020-12,842
Europe,2020-12,8914
France,2020-12,534
United Kingdom,2020-12,4031
North America,2020-12,1567
Number Of Air Passenger Arrivals,2020-11,50114
South East Asia,2020-11,14838
Vietnam,2020-11,1171
Indonesia,2020-11,3371
Other Regions,2020-11,428
Malaysia,2020-11,3485
Philippines,2020-11,4201
Thailand,2020-11,605
North East Asia,2020-11,13882
Mainland China,2020-11,7268
Hong Kong,2020-11,1731
Japan,2020-11,2452
South Asia,2020-11,1966
Middle East,2020-11,3166
Oceania,2020-11,6130
Germany,2020-11,619
Europe,2020-11,8906
France,2020-11,630
United Kingdom,2020-11,4586
North America,2020-11,798
Number Of Air Passenger Arrivals,2020-10,42267
South East Asia,2020-10,13078
Vietnam,2020-10,1231
Indonesia,2020-10,2354
Other Regions,2020-10,101
Malaysia,2020-10,2987
Philippines,2020-10,4395
Thailand,2020-10,509
North East Asia,2020-10,11192
Mainland China,2020-10,6120
Hong Kong,2020-10,1507
Japan,2020-10,1605
South Asia,2020-10,2028
Middle East,2020-10,2838
Oceania,2020-10,4535
Germany,2020-10,746
Europe,2020-10,8033
France,2020-10,683
United Kingdom,2020-10,3826
North America,2020-10,462
Number Of Air Passenger Arrivals,2020-09,35508
South East Asia,2020-09,8908
Vietnam,2020-09,686
Indonesia,2020-09,1645
Malaysia,2020-09,2215
Philippines,2020-09,2373
Thailand,2020-09,580
North East Asia,2020-09,9168
Mainland China,2020-09,5239
Hong Kong,2020-09,1101
Japan,2020-09,1211
South Asia,2020-09,1575
Middle East,2020-09,2040
Oceania,2020-09,7423
Germany,2020-09,487
Europe,2020-09,6007
France,2020-09,699
United Kingdom,2020-09,2872
North America,2020-09,387
Number Of Air Passenger Arrivals,2020-08,32865
South East Asia,2020-08,5561
Vietnam,2020-08,441
Indonesia,2020-08,1162
Malaysia,2020-08,1467
Philippines,2020-08,1661
Thailand,2020-08,363
North East Asia,2020-08,9579
Mainland China,2020-08,4945
Hong Kong,2020-08,981
Japan,2020-08,1695
South Asia,2020-08,2017
Middle East,2020-08,1889
Oceania,2020-08,7620
Germany,2020-08,801
Europe,2020-08,5628
France,2020-08,620
United Kingdom,2020-08,2121
North America,2020-08,571
Number Of Air Passenger Arrivals,2020-07,34261
South East Asia,2020-07,5780
Vietnam,2020-07,399
Indonesia,2020-07,1237
Malaysia,2020-07,1502
Philippines,2020-07,1800
Thailand,2020-07,419
North East Asia,2020-07,7953
Mainland China,2020-07,3306
Hong Kong,2020-07,1245
Japan,2020-07,1592
South Asia,2020-07,3305
Middle East,2020-07,3679
Oceania,2020-07,8168
Germany,2020-07,349
Europe,2020-07,4792
France,2020-07,149
United Kingdom,2020-07,1426
North America,2020-07,584
Number Of Air Passenger Arrivals,2020-06,13996
South East Asia,2020-06,3037
Vietnam,2020-06,208
Indonesia,2020-06,580
Malaysia,2020-06,1073
Philippines,2020-06,794
Thailand,2020-06,176
North East Asia,2020-06,2780
Mainland China,2020-06,1364
Hong Kong,2020-06,371
Japan,2020-06,619
South Asia,2020-06,2490
Middle East,2020-06,1226
Oceania,2020-06,2065
Germany,2020-06,106
Europe,2020-06,1893
France,2020-06,42
United Kingdom,2020-06,616
North America,2020-06,505
Number Of Air Passenger Arrivals,2020-05,3976
South East Asia,2020-05,1102
Vietnam,2020-05,88
Indonesia,2020-05,204
Malaysia,2020-05,300
Philippines,2020-05,156
Thailand,2020-05,217
North East Asia,2020-05,826
Mainland China,2020-05,267
Hong Kong,2020-05,147
Japan,2020-05,243
South Asia,2020-05,782
Middle East,2020-05,90
Oceania,2020-05,370
Germany,2020-05,78
Europe,2020-05,452
United Kingdom,2020-05,222
North America,2020-05,354
Number Of Air Passenger Arrivals,2020-04,5776
South East Asia,2020-04,1619
Vietnam,2020-04,106
Indonesia,2020-04,453
Other Regions,2020-04,224
Malaysia,2020-04,462
Philippines,2020-04,122
Thailand,2020-04,228
North East Asia,2020-04,1182
Mainland China,2020-04,369
Hong Kong,2020-04,163
Japan,2020-04,524
South Asia,2020-04,705
Middle East,2020-04,535
Oceania,2020-04,607
Germany,2020-04,37
Europe,2020-04,629
United Kingdom,2020-04,547
North America,2020-04,275
Number Of Air Passenger Arrivals,2020-03,828317
South East Asia,2020-03,363499
Vietnam,2020-03,32214
Indonesia,2020-03,98068
Other Regions,2020-03,6401
Malaysia,2020-03,82901
Philippines,2020-03,45459
Thailand,2020-03,76254
North East Asia,2020-03,71155
Mainland China,2020-03,6611
Hong Kong,2020-03,9883
Japan,2020-03,33976
South Asia,2020-03,125711
Middle East,2020-03,24669
Oceania,2020-03,127126
Germany,2020-03,16516
Europe,2020-03,91995
France,2020-03,5366
United Kingdom,2020-03,37648
North America,2020-03,17761
Number Of Air Passenger Arrivals,2020-02,1687083
South East Asia,2020-02,753430
Vietnam,2020-02,78597
Indonesia,2020-02,196322
Other Regions,2020-02,9745
Malaysia,2020-02,177329
Philippines,2020-02,92852
Thailand,2020-02,158009
North East Asia,2020-02,235440
Mainland China,2020-02,25783
Hong Kong,2020-02,26017
Japan,2020-02,113031
South Asia,2020-02,221919
Middle East,2020-02,53980
Oceania,2020-02,206578
Germany,2020-02,44487
Europe,2020-02,178240
France,2020-02,14836
United Kingdom,2020-02,49454
North America,2020-02,27751
Number Of Air Passenger Arrivals,2020-01,3000922
South East Asia,2020-01,1247872
Vietnam,2020-01,124867
Indonesia,2020-01,330712
Other Regions,2020-01,13191
Malaysia,2020-01,302705
Philippines,2020-01,144839
Thailand,2020-01,269296
North East Asia,2020-01,777762
Mainland China,2020-01,322487
Hong Kong,2020-01,131340
Japan,2020-01,147308
South Asia,2020-01,301249
Middle East,2020-01,79968
Oceania,2020-01,312814
Germany,2020-01,50590
Europe,2020-01,221564
France,2020-01,18604
United Kingdom,2020-01,67097
North America,2020-01,46502
Number Of Air Passenger Arrivals,2019-12,3231750
South East Asia,2019-12,1354850
Vietnam,2019-12,127040
Indonesia,2019-12,381999
Other Regions,2019-12,15405
Malaysia,2019-12,342762
Philippines,2019-12,128758
Thailand,2019-12,295737
North East Asia,2019-12,814848
Mainland China,2019-12,323711
Hong Kong,2019-12,138587
Japan,2019-12,168996
South Asia,2019-12,299326
Middle East,2019-12,100572
Oceania,2019-12,368006
Germany,2019-12,52098
Europe,2019-12,227624
France,2019-12,18612
United Kingdom,2019-12,67009
North America,2019-12,51119
Number Of Air Passenger Arrivals,2019-11,2814414
South East Asia,2019-11,1217887
Vietnam,2019-11,115505
Indonesia,2019-11,343394
Other Regions,2019-11,12202
Malaysia,2019-11,294208
Philippines,2019-11,125603
Thailand,2019-11,268198
North East Asia,2019-11,714433
Mainland China,2019-11,283753
Hong Kong,2019-11,111919
Japan,2019-11,149539
South Asia,2019-11,266295
Middle East,2019-11,73404
Oceania,2019-11,285487
Germany,2019-11,45538
Europe,2019-11,199509
France,2019-11,17410
United Kingdom,2019-11,58387
North America,2019-11,45197
Number Of Air Passenger Arrivals,2019-10,2787094
South East Asia,2019-10,1204375
Vietnam,2019-10,112534
Indonesia,2019-10,360198
Other Regions,2019-10,13679
Malaysia,2019-10,288091
Philippines,2019-10,124152
Thailand,2019-10,254709
North East Asia,2019-10,691555
Mainland China,2019-10,283940
Hong Kong,2019-10,100904
Japan,2019-10,143116
South Asia,2019-10,248897
Middle East,2019-10,78457
Oceania,2019-10,263965
Germany,2019-10,58244
Europe,2019-10,242036
France,2019-10,19459
United Kingdom,2019-10,70813
North America,2019-10,44130
Number Of Air Passenger Arrivals,2019-09,2726048
South East Asia,2019-09,1165748
Vietnam,2019-09,109045
Indonesia,2019-09,357916
Other Regions,2019-09,12970
Malaysia,2019-09,287796
Philippines,2019-09,117413
Thailand,2019-09,233413
North East Asia,2019-09,670012
Mainland China,2019-09,294237
Hong Kong,2019-09,96362
Japan,2019-09,132561
South Asia,2019-09,254910
Middle East,2019-09,70081
Oceania,2019-09,283674
Germany,2019-09,55031
Europe,2019-09,228973
France,2019-09,18124
United Kingdom,2019-09,65884
North America,2019-09,39680
Number Of Air Passenger Arrivals,2019-08,2926617
South East Asia,2019-08,1237417
Vietnam,2019-08,123073
Indonesia,2019-08,361195
Other Regions,2019-08,14846
Malaysia,2019-08,312594
Philippines,2019-08,127656
Thailand,2019-08,248222
North East Asia,2019-08,764831
Mainland China,2019-08,343870
Hong Kong,2019-08,119737
Japan,2019-08,149519
South Asia,2019-08,262089
Middle East,2019-08,79405
Oceania,2019-08,286399
Germany,2019-08,55851
Europe,2019-08,241438
France,2019-08,19227
United Kingdom,2019-08,72145
North America,2019-08,40192
Number Of Air Passenger Arrivals,2019-07,2986187
South East Asia,2019-07,1255813
Vietnam,2019-07,130461
Indonesia,2019-07,374571
Other Regions,2019-07,12692
Malaysia,2019-07,303637
Philippines,2019-07,125956
Thailand,2019-07,256669
North East Asia,2019-07,791788
Mainland China,2019-07,351031
Hong Kong,2019-07,147164
Japan,2019-07,133197
South Asia,2019-07,253138
Middle East,2019-07,88265
Oceania,2019-07,285001
Germany,2019-07,58117
Europe,2019-07,253404
France,2019-07,20354
United Kingdom,2019-07,75467
North America,2019-07,46086
Number Of Air Passenger Arrivals,2019-06,2920788
South East Asia,2019-06,1242675
Vietnam,2019-06,127283
Indonesia,2019-06,352057
Other Regions,2019-06,12788
Malaysia,2019-06,307525
Philippines,2019-06,135889
Thailand,2019-06,258318
North East Asia,2019-06,754504
Mainland China,2019-06,316202
Hong Kong,2019-06,137364
Japan,2019-06,141140
South Asia,2019-06,257710
Middle East,2019-06,78457
Oceania,2019-06,311750
Germany,2019-06,46129
Europe,2019-06,211223
France,2019-06,17518
United Kingdom,2019-06,62232
North America,2019-06,51681
Number Of Air Passenger Arrivals,2019-05,2657323
South East Asia,2019-05,1174032
Vietnam,2019-05,110837
Indonesia,2019-05,324970
Other Regions,2019-05,11560
Malaysia,2019-05,288098
Philippines,2019-05,147147
Thailand,2019-05,240039
North East Asia,2019-05,664288
Mainland China,2019-05,279009
Hong Kong,2019-05,120290
Japan,2019-05,122146
South Asia,2019-05,267175
Middle East,2019-05,53548
Oceania,2019-05,266863
Germany,2019-05,37717
Europe,2019-05,176417
France,2019-05,15650
United Kingdom,2019-05,50749
North America,2019-05,43440
Number Of Air Passenger Arrivals,2019-04,2824331
South East Asia,2019-04,1219701
Vietnam,2019-04,116140
Indonesia,2019-04,328667
Other Regions,2019-04,12845
Malaysia,2019-04,294130
Philippines,2019-04,144857
Thailand,2019-04,267618
North East Asia,2019-04,729968
Mainland China,2019-04,301389
Hong Kong,2019-04,137615
Japan,2019-04,139528
South Asia,2019-04,268903
Middle East,2019-04,68642
Oceania,2019-04,289879
Germany,2019-04,45123
Europe,2019-04,199602
France,2019-04,17124
United Kingdom,2019-04,57948
North America,2019-04,34791
Number Of Air Passenger Arrivals,2019-03,2795669
South East Asia,2019-03,1223747
Vietnam,2019-03,119478
Indonesia,2019-03,339787
Other Regions,2019-03,9823
Malaysia,2019-03,294574
Philippines,2019-03,123092
Thailand,2019-03,275441
North East Asia,2019-03,722856
Mainland China,2019-03,292622
Hong Kong,2019-03,139737
Japan,2019-03,141802
South Asia,2019-03,269894
Middle East,2019-03,72603
Oceania,2019-03,267473
Germany,2019-03,43061
Europe,2019-03,191709
France,2019-03,16351
United Kingdom,2019-03,56906
North America,2019-03,37564
Number Of Air Passenger Arrivals,2019-02,2565307
South East Asia,2019-02,1085547
Vietnam,2019-02,106464
Indonesia,2019-02,289305
Other Regions,2019-02,8984
Malaysia,2019-02,276106
Philippines,2019-02,118596
Thailand,2019-02,229904
North East Asia,2019-02,677760
Mainland China,2019-02,302273
Hong Kong,2019-02,113745
Japan,2019-02,129804
South Asia,2019-02,272129
Middle East,2019-02,62673
Oceania,2019-02,236211
Germany,2019-02,42981
Europe,2019-02,189079
France,2019-02,16152
United Kingdom,2019-02,56532
North America,2019-02,32924
Number Of Air Passenger Arrivals,2019-01,2865915
South East Asia,2019-01,1168955
Vietnam,2019-01,107675
Indonesia,2019-01,309369
Other Regions,2019-01,10631
Malaysia,2019-01,268552
Philippines,2019-01,146297
Thailand,2019-01,259324
North East Asia,2019-01,758152
Mainland China,2019-01,305732
Hong Kong,2019-01,143578
Japan,2019-01,142404
South Asia,2019-01,300387
Middle East,2019-01,71945
Oceania,2019-01,296033
Germany,2019-01,47582
Europe,2019-01,218151
France,2019-01,18416
United Kingdom,2019-01,69668
North America,2019-01,41661
Number Of Air Passenger Arrivals,2018-12,3092165
South East Asia,2018-12,1312049
Vietnam,2018-12,118673
Indonesia,2018-12,371783
Other Regions,2018-12,11914
Malaysia,2018-12,332237
Philippines,2018-12,123531
Thailand,2018-12,288588
North East Asia,2018-12,765678
Mainland China,2018-12,289667
Hong Kong,2018-12,151577
Japan,2018-12,155266
South Asia,2018-12,294935
Middle East,2018-12,92428
Oceania,2018-12,342805
Germany,2018-12,49368
Europe,2018-12,226774
France,2018-12,18208
United Kingdom,2018-12,70798
North America,2018-12,45582
Number Of Air Passenger Arrivals,2018-11,2642203
South East Asia,2018-11,1144291
Vietnam,2018-11,103399
Indonesia,2018-11,312409
Other Regions,2018-11,9836
Malaysia,2018-11,287891
Philippines,2018-11,116803
Thailand,2018-11,255376
North East Asia,2018-11,673815
Mainland China,2018-11,248615
Hong Kong,2018-11,138923
Japan,2018-11,135191
South Asia,2018-11,255261
Middle East,2018-11,59919
Oceania,2018-11,269031
Germany,2018-11,41198
Europe,2018-11,191879
France,2018-11,17184
United Kingdom,2018-11,59668
North America,2018-11,38171
Number Of Air Passenger Arrivals,2018-10,2657528
South East Asia,2018-10,1153180
Vietnam,2018-10,103335
Indonesia,2018-10,336788
Other Regions,2018-10,10869
Malaysia,2018-10,284342
Philippines,2018-10,116845
Thailand,2018-10,251299
North East Asia,2018-10,659876
Mainland China,2018-10,261306
Hong Kong,2018-10,124071
Japan,2018-10,130822
South Asia,2018-10,248720
Middle East,2018-10,64770
Oceania,2018-10,248103
Germany,2018-10,51818
Europe,2018-10,237736
France,2018-10,19854
United Kingdom,2018-10,75129
North America,2018-10,34274
Number Of Air Passenger Arrivals,2018-09,2602920
South East Asia,2018-09,1108334
Vietnam,2018-09,101193
Indonesia,2018-09,340328
Other Regions,2018-09,10257
Malaysia,2018-09,277710
Philippines,2018-09,108758
Thailand,2018-09,228825
North East Asia,2018-09,640489
Mainland China,2018-09,271316
Hong Kong,2018-09,119559
Japan,2018-09,117087
South Asia,2018-09,255570
Middle East,2018-09,63017
Oceania,2018-09,271059
Germany,2018-09,48615
Europe,2018-09,223708
France,2018-09,18330
United Kingdom,2018-09,70994
North America,2018-09,30486
Number Of Air Passenger Arrivals,2018-08,2790114
South East Asia,2018-08,1188634
Vietnam,2018-08,118760
Indonesia,2018-08,351613
Other Regions,2018-08,13357
Malaysia,2018-08,297297
Philippines,2018-08,120609
Thailand,2018-08,243170
North East Asia,2018-08,728352
Mainland China,2018-08,317446
Hong Kong,2018-08,140527
Japan,2018-08,132220
South Asia,2018-08,257360
Middle East,2018-08,66530
Oceania,2018-08,268592
Germany,2018-08,50551
Europe,2018-08,234915
France,2018-08,19168
United Kingdom,2018-08,76429
North America,2018-08,32374
Number Of Air Passenger Arrivals,2018-07,2877561
South East Asia,2018-07,1214634
Vietnam,2018-07,125391
Indonesia,2018-07,360295
Other Regions,2018-07,13304
Malaysia,2018-07,294720
Philippines,2018-07,118953
Thailand,2018-07,257334
North East Asia,2018-07,747889
Mainland China,2018-07,330589
Hong Kong,2018-07,146315
Japan,2018-07,121668
South Asia,2018-07,264117
Middle East,2018-07,78757
Oceania,2018-07,268291
Germany,2018-07,53599
Europe,2018-07,251380
France,2018-07,20547
United Kingdom,2018-07,81117
North America,2018-07,39189
Number Of Air Passenger Arrivals,2018-06,2797378
South East Asia,2018-06,1218954
Vietnam,2018-06,120593
Indonesia,2018-06,360153
Other Regions,2018-06,9426
Malaysia,2018-06,295742
Philippines,2018-06,128156
Thailand,2018-06,257421
North East Asia,2018-06,705987
Mainland China,2018-06,294432
Hong Kong,2018-06,135556
Japan,2018-06,124928
South Asia,2018-06,264778
Middle East,2018-06,67017
Oceania,2018-06,287525
Germany,2018-06,38517
Europe,2018-06,199667
France,2018-06,17036
United Kingdom,2018-06,62517
North America,2018-06,44024
Number Of Air Passenger Arrivals,2018-05,2593978
