jet_fuel_usd_per_gallon,fuel_lag1,fuel_lag2,fuel_lag3,fuel_change_3m,fuel_change_6m,fuel_volatility_6m,gdp_per_capita,gdp_yoy_change,lcc_share,month,quarter,is_peak_season,log_arrivals_diff,country,year_month
2.45975,2.2352,2.18,2.38375,3.1882538017829143,-30.26437026011766,0.2605833751732211,4876.30774512252,3.0749941907578293,0.7096774193548387,7,3,1,0.0028642921396233,Indonesia,2023-07-01
2.97325,2.45975,2.2352,2.18,36.387614678899084,4.682686383240919,0.30113552665978743,4876.30774512252,3.0749941907578293,0.7096774193548387,8,3,1,-0.012410498513196,Indonesia,2023-08-01
3.1032,2.97325,2.45975,2.2352,38.83321403006443,14.678492239467866,0.3890367712911816,4876.30774512252,3.0749941907578293,0.7096774193548387,9,3,0,-0.0228219005478749,Indonesia,2023-09-01
2.8845,3.1032,2.97325,2.45975,17.268015042179073,21.006816990036704,0.39833160892234826,4876.30774512252,3.0749941907578293,0.7096774193548387,10,4,0,0.0100441256786734,Indonesia,2023-10-01
2.77025,2.8845,3.1032,2.97325,-6.827545615067699,27.07568807339449,0.32907331921118427,4876.30774512252,3.0749941907578293,0.7096774193548387,11,4,0,-0.086678410769819,Indonesia,2023-11-01
2.4224,2.77025,2.8845,3.1032,-21.938643980407324,8.375089477451692,0.27659232349554774,4876.30774512252,3.0749941907578293,0.7096774193548387,12,4,1,0.1132988775402825,Indonesia,2023-12-01
2.55225,2.4224,2.77025,2.8845,-11.518460738429548,3.760544770810026,0.2578587082428392,4925.43048751861,1.0073757638701997,0.7096774193548387,1,1,0,-0.0426955961744024,Indonesia,2024-01-01
2.70975,2.55225,2.4224,2.77025,-2.183918418915254,-8.86235600773565,0.24114042261028315,4925.43048751861,1.0073757638701997,0.7096774193548387,2,1,0,-0.0808383613254211,Indonesia,2024-02-01
2.5902000000000003,2.70975,2.55225,2.4224,6.927014531043607,-16.53132250580046,0.16601787077500582,4925.43048751861,1.0073757638701997,0.7096774193548387,3,1,0,0.0422289570935792,Indonesia,2024-03-01
2.61725,2.5902000000000003,2.70975,2.55225,2.5467724556763605,-9.265037268157394,0.12214975644674925,4925.43048751861,1.0073757638701997,0.7096774193548387,4,2,0,0.0306936620103215,Indonesia,2024-04-01
2.3866,2.61725,2.5902000000000003,2.70975,-11.925454377710121,-13.848930601931231,0.12212096223280931,4925.43048751861,1.0073757638701997,0.7096774193548387,5,2,0,0.0328661036250395,Indonesia,2024-05-01
2.397,2.3866,2.61725,2.5902000000000003,-7.45888348390088,-1.0485468956407007,0.12759694647600556,4925.43048751861,1.0073757638701997,0.7096774193548387,6,2,1,0.0047873644462086,Indonesia,2024-06-01
